~VERSION_INFORMATION
DLM  SPACE :ColumnDataSectionDelimiterCharacter
PROD  Schlumberger :LAS_Producer
PROG  DLIS_to_ASCII 2.3 :LAS_Program_name_and_version
CREA.  2019-Aug-19 09:05 :LAS_Creation_date_and_time_{YYYY-MMM-DD hh:mm}
SOURCE  1RCH_0001__SC_1RCH_0001__SC.dlis :DLIS_File_Name
DLIS_CREA  2019-Aug-19 07:48 :DLIS_Creation_date_and_time_{YYYY-MMM-DD hh:mm}
#-----------------------------------------------------------------------------
~WELL_INFORMATION
NULL  -999.250000  :NULL_VALUE
COMP   :COMPANY
WELL   :WELL
FLD   :FIELD
LOC   :LOCATION
CTRY   :COUNTRY
DATE   :LOG_DATE
SRVC  Schlumberger :SERVICE COMPANY
LATI .DEG  :LATITUDE
LONG DEG  :LONGITUDE
GDAT   :GeoDetic Datum
~CURVE_INFORMATION
DEPT M DEPTH_(BOREHOLE)
DEPT M ----
DT US/F ----
GR GAPI ----
CALI IN ----
RHOB G/CC ----
NPHI FRAC ----
DRHO G/CC ----
ILD OHMM ----
SP MV ----
#-----------------------------------------------------------------------------
M M US/F GAPI IN G/CC FRAC G/CC OHMM MV
DEPT DEPT DT GR CALI RHOB NPHI DRHO ILD SP
~Ascii
3183.0264 3183.0264 58.9603 34.8717 9.1358 2.6039 0.0532 0.0901 57.3540 32.9775
3182.8740 3182.8740 58.8222 34.8717 9.1358 2.6041 0.0532 0.0803 57.3540 32.7500
3182.7216 3182.7216 58.7827 34.8717 9.1310 2.6152 0.0534 0.0912 57.3540 32.7500
3182.5692 3182.5692 58.8363 34.6674 9.0912 2.6170 0.0529 0.0905 57.3540 32.7257
3182.4168 3182.4168 58.9147 31.0860 9.1358 2.6168 0.0524 0.0840 57.3540 32.5252
3182.2644 3182.2644 58.8370 15.6611 9.1461 2.6149 0.0524 0.0803 57.3540 32.8281
3182.1120 3182.1120 58.9143 12.3706 9.2397 2.6187 0.0521 0.0649 57.3540 33.5000
3181.9596 3181.9596 58.8321 13.7062 9.2947 2.6621 0.0510 0.0754 57.3540 33.7441
3181.8072 3181.8072 58.8757 15.4527 9.4381 2.6852 0.0490 0.1063 57.4135 35.8621
3181.6548 3181.6548 58.8701 16.6790 9.7570 2.6598 0.0479 0.0705 57.8847 36.6924
3181.5024 3181.5024 58.8438 17.5041 8.8395 2.6342 0.0484 0.0339 57.8231 36.1920
3181.3500 3181.3500 58.9676 18.3046 8.8395 2.6305 0.0479 0.0254 57.3540 35.7799
3181.1976 3181.1976 58.9246 18.8877 8.8395 2.6529 0.0468 0.0311 57.3540 36.0000
3181.0452 3181.0452 58.9306 19.3748 8.8395 2.6811 0.0452 0.0500 57.3540 35.9382
3180.8928 3180.8928 58.9548 20.1079 8.8395 2.6807 0.0440 0.0260 57.3540 35.4046
3180.7404 3180.7404 58.8332 20.5922 8.8395 2.6742 0.0440 0.0135 57.2176 34.6197
3180.5880 3180.5880 58.8629 20.2529 8.8395 2.6923 0.0442 0.0242 56.3072 33.6844
3180.4356 3180.4356 58.7977 19.6713 8.8395 2.7117 0.0445 0.0341 56.3072 33.2163
3180.2832 3180.2832 58.9313 19.2511 8.8327 2.6875 0.0452 0.0445 56.3072 32.9654
3180.1308 3180.1308 58.9735 18.9726 8.7901 2.6198 0.0449 0.0269 55.8791 32.7500
3179.9784 3179.9784 58.9735 18.5430 8.7971 2.5630 0.0447 0.0210 52.9389 32.7144
3179.8260 3179.8260 58.9735 19.1229 8.8395 2.5143 0.0454 0.0304 51.0199 32.4635
3179.6736 3179.6736 58.9735 19.5405 8.8395 2.4707 0.0467 0.0604 51.8993 32.1755
3179.5212 3179.5212 58.9735 19.7543 8.8395 2.4539 0.0459 0.1336 52.2356 31.7500
3179.3688 3179.3688 58.9735 19.8358 8.8319 2.5059 0.0424 0.2237 51.8279 31.7500
3179.2164 3179.2164 58.9582 19.6172 8.7824 2.5381 0.0404 0.2567 52.5287 31.7891
3179.0640 3179.0640 58.8834 19.8068 8.7407 2.5084 0.0409 0.1748 56.7247 31.9607
3178.9116 3178.9116 58.9246 19.7707 8.7407 2.5218 0.0425 0.1012 60.0696 31.7500
3178.7592 3178.7592 58.9326 19.5080 8.7407 2.5270 0.0439 0.0657 66.5726 31.8322
3178.6068 3178.6068 58.9735 19.1072 8.7407 2.5333 0.0444 0.0417 70.5663 32.3338
3178.4544 3178.4544 58.9652 19.0455 8.7407 2.5355 0.0446 0.0310 72.2044 32.7500
3178.3020 3178.3020 58.9919 19.3700 8.7407 2.5130 0.0458 0.0108 71.4288 32.7500
3178.1496 3178.1496 59.2900 19.3402 8.7407 2.5176 0.0469 0.0125 67.1627 32.7500
3177.9972 3177.9972 59.2206 18.8811 8.7320 2.5379 0.0473 0.0240 64.3392 32.7940
