~VERSION_INFORMATION
DLM  SPACE :ColumnDataSectionDelimiterCharacter
PROD  Schlumberger :LAS_Producer
PROG  DLIS_to_ASCII 2.3 :LAS_Program_name_and_version
CREA.  2019-Aug-19 09:18 :LAS_Creation_date_and_time_{YYYY-MMM-DD hh:mm}
SOURCE  1TP__0003__SC_1TP__0003__SC.dlis :DLIS_File_Name
DLIS_CREA  2019-Aug-19 07:49 :DLIS_Creation_date_and_time_{YYYY-MMM-DD hh:mm}
#-----------------------------------------------------------------------------
~WELL_INFORMATION
NULL  -999.250000  :NULL_VALUE
COMP   :COMPANY
WELL   :WELL
FLD   :FIELD
LOC   :LOCATION
CTRY   :COUNTRY
DATE   :LOG_DATE
SRVC  Schlumberger :SERVICE COMPANY
LATI .DEG  :LATITUDE
LONG DEG  :LONGITUDE
GDAT   :GeoDetic Datum
~CURVE_INFORMATION
DEPT M DEPTH_(BOREHOLE)
DEPT M ----
DT US/F ----
GR GAPI ----
CALI IN ----
RHOB G/CC ----
NPHI FRAC ----
DRHO G/CC ----
ILD OHMM ----
SP MV ----
#-----------------------------------------------------------------------------
M M US/F GAPI IN G/CC FRAC G/CC OHMM MV
DEPT DEPT DT GR CALI RHOB NPHI DRHO ILD SP
~Ascii
3244.1388 3244.1388 55.9386 163.7602 8.2740 2.6106 0.0392 0.1149 1960.0237 13.5973
3243.9864 3243.9864 55.8440 163.9831 8.2740 2.6076 0.0284 0.1228 1960.0237 12.6556
3243.8340 3243.8340 55.8900 163.6315 8.2740 2.6029 0.0020 0.1047 1960.0237 12.9334
3243.6816 3243.6816 55.8442 164.7167 8.2762 2.6062 -0.0067 0.1065 1960.0237 13.8569
3243.5292 3243.5292 55.8898 166.0806 8.3267 2.6168 -0.0046 0.1048 1960.0237 13.4413
3243.3768 3243.3768 55.8470 166.5037 8.3748 2.6172 -0.0000 0.1092 1960.0237 14.6648
3243.2244 3243.2244 55.9445 165.4657 8.3772 2.6074 0.0035 0.1019 1960.0237 15.6382
3243.0720 3243.0720 55.9893 163.5344 8.4251 2.6002 0.0057 0.0869 1960.0237 16.3797
3242.9196 3242.9196 55.9364 162.6545 8.4251 2.5899 0.0075 0.0724 1960.0237 17.0932
3242.7672 3242.7672 55.8478 163.6764 8.4280 2.5757 0.0092 0.0508 1960.0237 17.2974
3242.6148 3242.6148 55.9451 165.2270 8.4755 2.5730 0.0100 0.0498 1960.0237 16.8629
3242.4624 3242.4624 55.9920 166.4564 8.4755 2.5611 0.0104 0.0344 1960.0237 17.3572
3242.3100 3242.3100 55.9920 167.4861 8.4755 2.5657 0.0110 0.0283 1960.0237 17.8181
3242.1576 3242.1576 55.9920 167.8926 8.4755 2.5784 0.0116 0.0339 1960.0237 17.8349
3242.0052 3242.0052 55.9920 168.2529 8.4755 2.5856 0.0110 0.0346 1960.0237 18.0644
3241.8528 3241.8528 55.9920 168.8913 8.4755 2.5836 0.0106 0.0319 1958.6702 18.0644
3241.7004 3241.7004 55.9806 168.1258 8.4793 2.5911 0.0101 0.0434 1930.2968 18.1017
3241.5480 3241.5480 55.8381 166.1246 8.5258 2.5699 0.0094 0.0379 1788.6293 18.5960
3241.3956 3241.3956 55.8045 164.9667 8.5258 2.5579 0.0092 0.0368 1735.6117 19.0903
3241.2432 3241.2432 55.9463 164.6335 8.5215 2.5471 0.0092 0.0252 976.0407 19.5845
3241.0908 3241.0908 55.9790 163.4473 8.4711 2.5465 0.0092 0.0281 933.5587 19.9918
3240.9384 3240.9384 55.8466 162.8158 8.4297 2.5233 0.0094 0.0195 1084.5895 19.5420
3240.7860 3240.7860 55.8874 162.4930 8.4755 2.5399 0.0098 0.0168 1236.8284 19.6113
3240.6336 3240.6336 55.8610 162.2846 8.4755 2.5705 0.0098 0.0367 1895.7324 20.3041
3240.4812 3240.4812 56.0420 162.4338 8.4804 2.5880 0.0098 0.0529 1961.8051 20.4788
3240.3288 3240.3288 56.0217 162.4839 8.5258 2.6003 0.0102 0.0460 1978.1868 20.0346
3240.1764 3240.1764 55.8472 162.8608 8.5258 2.6124 0.0100 0.0558 1978.1868 20.0848
3240.0240 3240.0240 55.9026 162.3213 8.5258 2.5968 0.0105 0.0454 1978.1868 20.6572
3239.8716 3239.8716 55.9920 162.9792 8.5258 2.5626 0.0110 0.0354 1978.1868 21.8392
3239.7192 3239.7192 55.9751 164.9902 8.5258 2.5569 0.0114 0.0478 1978.1868 22.5528
3239.5668 3239.5668 55.8534 166.9734 8.5258 2.5230 0.0111 0.0450 1976.1314 22.9899
3239.4144 3239.4144 55.9595 166.6906 8.5258 2.4995 0.0106 0.0208 1960.0237 23.0187
3239.2620 3239.2620 56.0860 163.6925 8.5258 2.4991 0.0102 0.0057 1960.0237 23.2362
3239.1096 3239.1096 56.0359 161.4056 8.5258 2.5234 0.0099 0.0107 1960.0237 23.2957
3238.9572 3238.9572 55.9734 161.2388 8.5258 2.5345 0.0094 0.0098 1960.0237 23.7594
3238.8048 3238.8048 55.8293 162.1991 8.5258 2.5376 0.0090 0.0158 1960.0237 24.0695
3238.6524 3238.6524 55.7421 162.9212 8.5258 2.5288 0.0091 0.0148 1960.0237 24.7784
3238.5000 3238.5000 55.7619 163.3245 8.5258 2.5296 0.0094 0.0160 1960.0237 25.2714
