WellName:  1API 0001  PR
Field:     PR-01
Operator:  PETROBRAS
Country:   BRA
RunNumber: 0

DEPT       GR         CALI       ILD        SN         DT         TT1        TT2        TT3        TT4        TENS   
M          GAPI       IN         OHMM       OHMM       US/F       US         US         US         US         LB     
1818.638   47.3000    0.50000    11.7       10.66596   76.89999   357.0000   398.0000   534.0000   530.0000   1964   
1818.486   47.4000    0.50000    11.8       10.66596   75.39999   354.0000   407.0000   532.0000   532.0000   1964   
1818.333   47.9000    0.50000    11.9       10.64143   72.20000   352.0000   420.0000   524.0000   529.0000   1964   
1818.181   48.7000    0.50000    11.9       10.61696   70.09999   354.0000   422.0000   522.0000   533.0000   1963   
1818.029   49.2000    0.50000    12.0       10.69055   71.39999   361.0000   415.0000   526.0000   543.0000   1966   
1817.876   48.9000    0.50000    12.0       10.73989   74.20000   371.0000   402.0000   527.0000   547.0000   1965   
1817.724   48.0000    0.50000    12.1       10.81434   76.00000   379.0000   388.0000   531.0000   544.0000   1967   
1817.571   47.6000    0.50000    12.2       10.93956   75.59999   388.0000   381.0000   532.0000   538.0000   1965   
1817.419   47.4000    0.50000    12.3       11.11732   74.50000   396.0000   377.0000   536.0000   532.0000   1966   
1817.266   47.3000    17.64000   12.5       11.29796   74.09999   400.0000   372.0000   542.0000   529.0000   1969   
1817.114   48.2000    17.65000   12.8       11.48154   73.59999   402.0000   369.0000   536.0000   530.0000   1969   
1816.962   50.2000    17.65000   13.0       11.74898   72.50000   399.0000   361.0000   523.0000   525.0000   1968   
1816.809   52.0000    17.64000   13.3       11.99499   71.70000   396.0000   359.0000   517.0000   524.0000   1975   
1816.657   51.8000    17.65000   13.7       12.30269   71.70000   389.0000   354.0000   511.0000   522.0000   1978   
1816.504   50.7000    17.64000   14.2       12.64736   72.59999   382.0000   356.0000   507.0000   524.0000   1973   
1816.352   50.0000    17.65000   14.8       12.97179   74.20000   371.0000   358.0000   505.0000   533.0000   1966   
1816.200   50.0000    17.65000   15.5       13.27394   75.70000   363.0000   366.0000   505.0000   532.0000   1960   
1816.047   49.9000    17.65000   16.1       13.45860   75.80000   356.0000   372.0000   509.0000   521.0000   1961   
1815.895   49.3000    17.65000   16.7       13.61445   74.59999   352.0000   381.0000   515.0000   513.0000   1963   
1815.742   48.8000    17.65000   17.2       13.67729   72.59999   349.0000   387.0000   515.0000   508.0000   1967   
1815.590   49.7000    17.65000   17.5       13.61445   69.89999   346.0000   392.0000   511.0000   501.0000   1968   
