WellName:  1API 0001  PR
Field:     PR-01
Operator:  PETROBRAS
Country:   BRA
RunNumber: 0

DEPT       CALI       BIT        GR         FFDC       NFDC       RHOB       DRHO        FCNL       NCNL       NPHI       TENS       
M          IN         IN         GAPI       CPS        CPS        G/CC       G/CC        CPS        CPS        LS         LB         
5899.453   8.71630    8.500000   37.8259    386.785    553.5464   2.485318   0.127668    900.948    782.6044   1.3397     6081.699   
5899.301   8.56983    8.500000   43.3416    363.372    547.0004   2.500032   0.130313    907.847    793.5166   1.4639     6052.725   
5899.148   8.56983    8.500000   46.6892    389.466    561.2729   2.483536   0.137744    898.638    794.0576   1.5405     6085.359   
5898.996   8.95067    8.500000   46.9797    436.977    593.3569   2.440678   0.160684    884.047    789.5895   1.4288     6165.880   
5898.844   9.18503    8.500000   45.6615    487.216    619.8486   2.399629   0.175037    872.728    779.6522   1.3391     6207.055   
5898.691   9.09714    8.500000   44.8801    510.675    630.0612   2.375296   0.179145    851.755    757.6251   1.3703     6209.495   
5898.539   9.00926    8.500000   42.6461    501.305    618.6589   2.376126   0.167753    817.881    729.9817   1.4418     6234.505   
5898.387   8.97996    8.500000   38.5302    471.867    603.6978   2.392637   0.159614    779.411    705.1333   1.5731     6200.345   
5898.233   8.95066    8.500000   34.1700    454.794    594.0055   2.413746   0.153600    749.761    696.4017   1.7819     6164.965   
5898.081   8.89208    8.500000   30.2098    437.478    589.2415   2.433937   0.154703    740.545    703.7994   2.0026     6143.920   
5897.929   8.89208    8.500000   27.4580    424.360    585.4833   2.453476   0.155499    750.551    718.2131   2.0715     6078.955   
5897.776   9.08249    8.500000   25.9272    418.132    589.0328   2.468953   0.163449    771.521    730.8848   1.8936     6088.715   
5897.624   9.08249    8.500000   25.1205    418.158    596.5204   2.478745   0.173874    793.392    739.3990   1.7522     6113.115   
5897.472   9.08249    8.500000   24.2834    421.830    602.9445   2.483370   0.180979    808.964    741.1493   1.6241     6151.544   
5897.319   9.06785    8.500000   24.0104    422.284    605.9281   2.482904   0.184845    816.736    742.6709   1.5406     6210.715   
5897.167   9.08249    8.500000   24.9435    426.065    604.4707   2.476359   0.181074    821.300    740.0315   1.4712     6255.244   
5897.015   9.08982    8.500000   26.6266    432.425    604.0211   2.467239   0.177498    824.620    739.1809   1.4150     6293.064   
5896.862   9.06785    8.500000   27.2597    435.617    605.3005   2.463353   0.177776    834.183    743.0007   1.3728     6315.024   
5896.710   9.08249    8.500000   26.9367    428.519    599.3420   2.469804   0.172885    845.348    746.5388   1.3229     6274.765   
5896.558   8.95067    8.500000   25.5868    408.221    586.1193   2.486262   0.164144    851.621    751.9336   1.3636     6193.024   
5896.405   8.84814    8.500000   23.5534    383.434    567.5984   2.505180   0.150124    863.745    763.2057   1.3941     6112.505   
5896.253   8.86279    8.500000   21.0633    364.268    548.3112   2.519139   0.131799    887.635    777.9652   1.3210     6089.935   
5896.101   8.84814    8.500000   18.9910    354.841    540.4988   2.524161   0.125178    919.427    790.2583   1.2005     6163.135   
5895.948   8.83349    8.500000   16.8575    354.132    534.3320   2.520155   0.116095    945.824    794.1019   1.0606     6213.765   
5895.796   8.86278    8.500000   15.7106    358.131    533.3577   2.506793   0.112342    953.077    784.8496   0.9407     6254.024   
5895.643   8.95067    8.500000   14.9923    379.572    547.7164   2.482310   0.122679    936.468    767.1105   0.8760     6284.524   
5895.490   9.18503    8.500000   14.5483    416.819    570.6447   2.449995   0.137866    912.505    755.1176   0.8113     6300.995   
