~VERSION_INFORMATION
DLM  SPACE :ColumnDataSectionDelimiterCharacter
PROD  Schlumberger :LAS_Producer
PROG  DLIS_to_ASCII 2.3 :LAS_Program_name_and_version
CREA.  2019-Aug-19 15:17 :LAS_Creation_date_and_time_{YYYY-MMM-DD hh:mm}
SOURCE  1API_0001__PR_1API_0001__PR.dlis :DLIS_File_Name
DLIS_CREA  2019-Aug-19 15:16 :DLIS_Creation_date_and_time_{YYYY-MMM-DD hh:mm}
#-----------------------------------------------------------------------------
~WELL_INFORMATION
NULL  -999.250000  :NULL_VALUE
COMP   :COMPANY
WELL   :WELL
FLD   :FIELD
LOC   :LOCATION
CTRY   :COUNTRY
DATE   :LOG_DATE
SRVC  Schlumberger :SERVICE COMPANY
LATI .DEG  :LATITUDE
LONG DEG  :LONGITUDE
GDAT   :GeoDetic Datum
~CURVE_INFORMATION
DEPT M DEPTH_(BOREHOLE)
DEPT M ----
CAL2 IN ----
RB ---- ----
GR ---- ----
CALI IN ----
#-----------------------------------------------------------------------------
M M IN ---- ---- IN
DEPT DEPT CAL2 RB GR CALI
~Ascii
4269.9432 4269.9432 12.2075 283.0000 54.1000 8.8600
4269.7908 4269.7908 12.3524 288.0000 55.2000 8.6000
4269.6384 4269.6384 12.2900 289.0000 57.0000 8.4414
4269.4860 4269.4860 12.1300 289.0000 56.7366 8.4000
4269.3336 4269.3336 12.0627 293.0000 57.3000 8.4000
4269.1812 4269.1812 12.3026 295.0000 57.5000 8.3700
4269.0288 4269.0288 10.5075 295.0000 58.8000 8.4800
4268.8764 4268.8764 9.6698 295.0000 59.6000 8.4400
4268.7240 4268.7240 9.6605 295.0000 59.6000 8.4400
4268.5716 4268.5716 9.5243 295.0000 61.2136 8.4400
4268.4192 4268.4192 9.3838 295.0000 61.0000 8.4000
4268.2668 4268.2668 9.2552 297.0000 57.4363 8.3384
4268.1144 4268.1144 8.8443 297.0000 52.7004 8.1300
4267.9620 4267.9620 8.7401 297.0000 50.3000 8.1300
4267.8096 4267.8096 8.7100 297.0000 49.3000 8.0900
4267.6572 4267.6572 8.6500 301.0000 47.2995 8.0900
4267.5048 4267.5048 8.5800 301.0000 47.6000 8.0900
4267.3524 4267.3524 8.5500 301.0000 49.6943 8.0500
4267.2000 4267.2000 8.5200 301.0000 54.1000 8.0500
4267.0476 4267.0476 8.5200 307.0000 58.7215 8.0500
4266.8952 4266.8952 8.5200 307.0000 60.3000 8.1000
4266.7428 4266.7428 8.5200 307.0000 61.4000 8.0900
4266.5904 4266.5904 8.5200 307.0000 58.9000 8.0500
4266.4380 4266.4380 8.5200 307.0000 57.0000 8.0900
4266.2856 4266.2856 8.4700 310.0000 53.4000 8.1300
4266.1332 4266.1332 8.4500 312.0000 50.3397 8.0900
4265.9808 4265.9808 8.4367 312.0000 48.1000 8.0900
4265.8284 4265.8284 8.4200 318.2310 47.9000 8.0900
4265.6760 4265.6760 8.4200 319.0000 48.5355 8.0900
4265.5236 4265.5236 8.3900 321.0000 48.9000 8.0900
4265.3712 4265.3712 8.3900 321.0000 49.7767 8.0900
4265.2188 4265.2188 8.3900 324.0000 50.3580 8.1100
4265.0664 4265.0664 8.3900 324.0000 52.5604 8.1300
