WellName: 1API 0001  PR
Field:    PR-01
Operator: PETROBRAS
Country:  BRA

DEPT       TTI        
FT                    
19291.34              
19290.85   0.0        
19290.36   0.0        
19289.86   0.0        
19289.37   0.0        
19288.88   0.0        
19288.39   0.0        
19287.89   0.0        
19287.40   0.0        
19286.91   0.0        
19286.42   0.0        
19285.93   0.0        
19285.43   0.0        
19284.94   0.0        
19284.45   0.0        
19283.96   0.0        
19283.46   0.0        
19282.97   0.0        
19282.48   0.0        
19281.99   0.0        
19281.50   0.0        
19281.00   1.000000   
19280.51   0.0        
19280.02   0.0        
19279.53   0.0        
19279.04   0.0        
19278.54   0.0        
19278.05   0.0        
19277.56   0.0        
19277.07   0.0        
19276.57   0.0        
19276.08   0.0        
19275.59   0.0        
19275.10   0.0        
19274.61   0.0        
19274.11   0.0        
19273.62   0.0        
19273.13   0.0        
19272.64   0.0        
19272.15   0.0        
19271.66   0.0        
19271.16   0.0        
19270.67   0.0        
19270.18   0.0        
19269.69   0.0        
19269.20   0.0        
19268.70   0.0        
19268.21   0.0        
19267.72   0.0        
19267.23   0.0        
19266.73   0.0        
19266.24   0.0        
19265.75   0.0        
19265.26   0.0        
19264.77   0.0        
19264.27   1.000000   
19263.78   0.0        
19263.29   0.0        
19262.80   0.0        
19262.30   0.0        
19261.81   0.0        
19261.32   0.0        
19260.83   0.0        
19260.34   0.0        
19259.84   0.0        
19259.35              
19258.86   0.0        
19258.37   0.0        
19257.88   0.0        
19257.38   0.0        
19256.89   0.0        
19256.40   0.0        
19255.91   0.0        
19255.41   0.0        
19254.92   0.0        
19254.43   0.0        
19253.94   0.0        
19253.45   0.0        
19252.95   0.0        
19252.46   0.0        
19251.97   0.0        
19251.48   0.0        
19250.98   0.0        
19250.49   0.0        
19250.00   0.0        
19249.51   0.0        
19249.02   0.0        
19248.52   0.0        
19248.03   0.0        
19247.54   0.0        
19247.05   1.000000   
19246.55   0.0        
19246.06   0.0        
19245.57   0.0        
19245.08   0.0        
19244.59   0.0        
19244.09   0.0        
19243.60   0.0        
19243.11   0.0        
19242.62   0.0        
19242.13   0.0        
19241.64   0.0        
19241.14   0.0        
19240.65   0.0        
19240.16   0.0        
19239.67   0.0        
19239.18   0.0        
19238.68   0.0        
19238.19   0.0        
19237.70   0.0        
19237.21   0.0        
19236.71   0.0        
19236.22   0.0        
19235.73   0.0        
19235.24   0.0        
19234.75   0.0        
19234.25   0.0        
19233.76   0.0        
19233.27   0.0        
19232.78   0.0        
19232.29   0.0        
19231.79   0.0        
19231.30   0.0        
19230.81   1.000000   
19230.32   0.0        
19229.82   0.0        
19229.33   0.0        
19228.84   0.0        
19228.35   0.0        
19227.86              
19227.36   0.0        
19226.87   0.0        
19226.38   0.0        
19225.89   0.0        
19225.39   0.0        
19224.90   0.0        
19224.41   0.0        
19223.92   0.0        
19223.43   0.0        
19222.93   0.0        
19222.44   0.0        
19221.95   0.0        
19221.46   0.0        
19220.96   0.0        
19220.47   0.0        
19219.98   0.0        
19219.49   0.0        
19219.00   0.0        
19218.50   0.0        
19218.01   0.0        
19217.52   0.0        
19217.03   0.0        
19216.54   0.0        
19216.04   0.0        
19215.55   0.0        
19215.06   0.0        
19214.57   0.0        
19214.07   0.0        
19213.58   1.000000   
19213.09   0.0        
19212.60   0.0        
19212.11   0.0        
19211.61   0.0        
19211.12   0.0        
19210.63   0.0        
19210.14   0.0        
19209.65   0.0        
19209.16   0.0        
19208.66   0.0        
19208.17   0.0        
19207.68   0.0        
19207.19   0.0        
19206.70   0.0        
19206.20   0.0        
19205.71   0.0        
19205.22   0.0        
19204.73   0.0        
19204.23   0.0        
19203.74   0.0        
19203.25   0.0        
19202.76   0.0        
19202.27   0.0        
19201.77   0.0        
