WellName:  1API 0001  PR
Field:     PR-01
Operator:  PETROBRAS
Country:   BRA
RunNumber: 0

DEPT       GR         CALI       FFDC       NFDC       RHOB       DRHO        NPHI       FCNL       NCNL        TENS       
M          GAPI       IN         CPS        CPS        G/CC       G/CC        %LS        CPS        CPS         LB         
4031.639   108.5000   8.22000    274.300    455.0000   2.607000   0.022000    19.00000   232.2000   430.0000    4219.000   
4031.486   109.2000   8.21000    272.800    452.7000   2.611000   0.019000    18.76000   228.9000   429.1000    4216.000   
4031.333   108.1000   8.23000    272.000    448.7000   2.610000   0.015000    18.59000   230.8000   437.1000    4234.000   
4031.181   105.7000   8.22000    270.200    447.6000   2.610000   0.022000    18.74000   223.4000   431.3000    4226.000   
4031.029   103.6000   8.23000    267.600    465.0000   2.620000   0.050000    19.04000   225.9000   433.6000    4250.000   
4030.876   102.2000   8.37000    269.700    496.9000   2.644000   0.088000    19.08000   234.2000   427.0000    4291.000   
4030.724   101.1000   8.37000    275.700    511.8000   2.673000   0.108000    18.98000   230.2000   425.0000    4305.000   
4030.572   101.3000   8.37000    278.900    505.6000   2.681000   0.103000    18.70000   227.1000   400.0000    4328.000   
4030.419   103.0000   8.44000    288.100    514.5000   2.650000   0.108000    18.35000   216.3000   409.2000    4412.000   
4030.267   104.5000   8.48000    319.300    564.5000   2.603000   0.148000    17.92000   236.0000   421.0000    4412.000   
4030.115   104.8000   8.52000    359.200    612.2000   2.589000   0.191000    16.99000   263.2000   450.2000    4464.000   
4029.962   104.1000   8.52000    367.800    593.9000   2.623000   0.187000    15.49000   296.7000   472.8000    4456.000   
4029.810   103.6000   9.21000    331.700    523.0000   2.670000   0.129000    12.87000   334.2000   510.9000    4442.000   
4029.657   103.7000   9.60000    280.500    456.2000   2.696000   0.057000    10.17000   446.9000   530.9000    4420.000   
4029.505   104.4000   9.60000    246.400    425.0000   2.696000   0.011000    7.61000    502.7000   588.5000    4308.000   
4029.353   104.9000   9.61000    231.900    417.9000   2.690000   -0.005000   5.63000    499.4000   637.2999    4194.000   
4029.200   105.0000   9.62000    226.400    414.9000   2.690000   -0.009000   5.16000    426.3000   594.4000    4148.000   
4029.048   105.0000   9.55000    224.000    414.2000   2.693000   -0.010000   6.73000    330.9000   517.7000    4162.000   
