WellName:  1API 0001  PR
Field:     PR-01
Operator:  PETROBRAS
Country:   BRA
RunNumber: 0

DEPT       SP           GR         LLD         LLS         RLLD        RLLS        TENS       
M          MV           GAPI       OHMM        OHMM        OHMM        OHMM        LB         
4004.054   42.80000     116.0000   36.4754     41.9759     27.6058     32.4340     4293.000   
4003.902   41.40000     126.8000   26.9774     31.9890     21.9280     26.3027     4296.000   
4003.750   41.00000     130.3000   23.7137     28.7078     21.4289     26.3027     4286.000   
4003.597   40.20000     130.9000   23.4963     28.7078     22.7510     28.2488     4279.000   
4003.444   38.70000     131.0000   24.3781     29.8538     24.8886     30.5492     4264.000   
4003.292   37.70000     132.0000   24.0991     29.3089     26.6072     32.2107     4264.000   
4003.140   36.80000     133.8000   23.6592     28.5102     26.4241     32.1366     4269.000   
4002.987   35.30000     134.4000   23.6592     28.0543     20.0447     23.6048     4272.000   
4002.835   33.40000     131.6000   24.3781     28.3792     20.6063     24.2103     4291.000   
4002.683   32.40000     121.0000   27.4157     31.2608     24.7742     28.2488     4311.000   
4002.530   30.40000     100.0000   39.6278     45.0817     30.1301     33.8065     4291.000   
4002.378   27.70000     71.8000    51.2861     58.4790     41.5911     46.4515     4275.000   
4002.225   27.00000     46.1000    59.1562     67.7641     81.2830     93.1108     4281.000   
4002.073   26.20000     30.4000    65.0130     75.1623     78.8860     90.9913     4303.000   
4001.920   25.00000     23.8000    69.0240     80.7235     64.1210     74.9894     4286.000   
4001.768   23.90000     21.5000    65.9174     77.8036     59.8411     70.7946     4277.000   
4001.616   23.40000     21.2000    63.3870     75.5092     61.5177     74.1310     4267.000   
4001.463   22.00000     22.4000    63.5331     76.2079     65.4636     78.5236     4277.000   
4001.311   21.00000     23.9000    63.2412     76.2079     66.3743     79.7995     4281.000   
4001.159   21.00000     24.6000    60.5341     72.9458     64.8634     78.1628     4303.000   
4001.006   20.30000     24.3000    55.3350     66.6807     58.6138     70.4693     4303.000   
4000.854   18.60000     23.8000    48.6407     58.6138     47.8630     57.8096     4299.000   
4000.701   18.50000     23.8000    41.2097     49.6592     39.4457     47.7529     4279.000   
4000.549   19.10000     23.8000    34.8337     41.9759     32.5837     39.3550     4267.000   
4000.396   18.90000     23.9000    30.4089     36.8129     27.9254     33.3426     4276.000   
4000.244   18.60000     24.1000    28.1838     34.1979     26.3633     31.9154     4286.000   
4000.092   19.70000     24.8000    28.4446     34.5144     26.0016     31.9890     4289.000   
3999.939   20.70000     25.3000    31.1889     38.1066     28.3139     34.7536     4288.000   
3999.787   21.40000     24.8000    36.6438     44.4631     33.6512     40.7380     4303.000   
3999.635   22.60000     24.2000    44.5656     53.8270     41.6869     51.1682     4306.000   
3999.482   24.00000     25.6000    54.8277     65.9174     53.5797     63.8263     4312.000   
3999.330   25.30000     29.8000    67.1429     79.9834     65.6145     78.8860     4308.000   
3999.177   26.60000     35.4000    79.6159     94.6237     80.1678     95.2796     4305.000   
3999.025   27.60000     39.1000    91.6221     108.3927    95.0605     111.4294    4290.000   
3998.873   28.10000     40.0000    103.2761    122.7439    103.9920    123.8796    4296.000   
3998.720   28.60000     39.3000    114.8153    136.1445    113.7627    133.6595    4303.000   
3998.568   29.60000     39.0000    127.3503    151.3561    123.8796    149.6235    4303.000   
3998.416   30.30000     39.7000    134.5860    160.3245    137.7209    162.5548    4298.000   
3998.263   30.70000     41.7000    142.2329    169.8244    158.1248    187.4995    4296.000   
3998.110   32.70000     44.6000    152.0547    183.2314    140.9289    169.8244    4294.000   
3997.958   33.90000     46.6000    157.7611    193.1968    150.6607    181.5516    4308.000   
3997.806   34.70000     46.9000    163.6816    203.7042    172.9816    215.7745    4323.000   
3997.653   36.30000     47.9000    173.7801    220.2926    167.8804    212.8139    4318.000   
3997.501   36.90000     52.3000    178.6488    230.1442    187.0682    239.3315    4306.000   
3997.349   36.60000     57.8000    181.9701    236.5920    192.3091    252.9299    4303.000   
3997.196   37.60000     59.7000    188.3649    248.3133    174.9847    230.1442    4298.000   
3997.044   38.40000     56.7000    190.5461    250.6109    189.2343    249.4595    4303.000   
3996.891   39.20000     52.0000    192.7525    254.0973    199.9862    271.0192    4306.000   
3996.739   39.00000     50.2000    199.0674    262.4218    196.7886    251.1887    4302.000   
3996.586   39.60000     52.0000    202.3019    264.2408    203.7042    269.1535    4291.000   
3996.434   41.00000     53.8000    198.6095    252.9299    207.4913    271.6439    4286.000   
3996.282   41.00000     53.0000    189.6706    236.5920    204.1738    258.8214    4291.000   
3996.129   40.90000     50.8000    173.7801    209.4113    182.3895    215.7745    4293.000   
3995.977   41.30000     52.4000    151.3561    175.3880    152.7566    169.0441    4290.000   
3995.825   41.60000     60.9000    125.8925    139.9587    122.7439    132.7394    4281.000   
