WellName:  1API 0001  PR
Field:     PR-01
Operator:  PETROBRAS
Country:   BRA
RunNumber: 0

DEPT       GR         CALI       MSFL       DT         TT1        TT2        TT3        TT4        TENS       
M          GAPI       IN         OHMM       US/F       US         US         US         US         LB         
3980.737   45.0000    8.539999   43.95      63.10000   315.0000   298.0000   452.0000   433.0000   4328.000   
3980.584   48.5000    8.590000   41.98      62.90000   316.0000   298.0000   450.0000   429.0000   4304.000   
3980.432   54.1000    8.559999   42.95      62.00000   317.0000   300.0000   445.0000   426.0000   4309.000   
3980.280   60.1000    8.590000   44.98      60.80000   317.0000   307.0000   438.0000   422.0000   4333.000   
3980.127   62.3000    8.600000   47.97      60.30000   312.0000   306.0000   428.0000   421.0000   4357.000   
3979.975   58.9000    8.609999   50.93      60.40000   305.0000   307.0000   419.0000   428.0000   4352.000   
3979.823   53.0000    8.609999   53.95      60.20000   297.0000   304.0000   411.0000   428.0000   4309.000   
3979.670   49.5000    8.570000   59.98      59.90000   291.0000   299.0000   410.0000   432.0000   4235.000   
3979.518   48.8000    8.590000   86.90      59.80000   286.0000   292.0000   412.0000   431.0000   4279.000   
3979.365   48.4000    8.529999   143.88     59.90000   285.0000   286.0000   414.0000   426.0000   4323.000   
3979.213   47.3000    8.529999   190.99     60.00000   285.0000   283.0000   421.0000   418.0000   4352.000   
3979.061   46.9000    8.539999   185.78     60.10000   285.0000   280.0000   426.0000   411.0000   4348.000   
3978.908   47.5000    8.480000   137.72     60.40000   291.0000   280.0000   422.0000   405.0000   4274.000   
3978.756   46.7000    8.369999   91.83      60.50000   297.0000   283.0000   416.0000   400.0000   4240.000   
3978.604   43.6000    8.369999   71.94      60.10000   300.0000   295.0000   412.0000   397.0000   4274.000   
3978.451   40.7000    8.359999   64.86      60.20000   299.0000   299.0000   408.0000   398.0000   4318.000   
3978.298   40.4000    8.439999   57.94      61.30000   296.0000   298.0000   403.0000   409.0000   4338.000   
3978.146   41.0000    8.500000   47.97      62.40000   292.0000   297.0000   403.0000   418.0000   4328.000   
3977.994   39.9000    8.480000   34.99      63.10000   288.0000   293.0000   406.0000   424.0000   4313.000   
3977.841   37.7000    8.379999   25.00      64.00000   286.0000   289.0000   408.0000   429.0000   4304.000   
3977.689   36.3000    8.359999   22.75      64.70000   286.0000   286.0000   414.0000   428.0000   4299.000   
3977.537   36.6000    8.350000   22.23      64.70000   287.0000   286.0000   423.0000   424.0000   4328.000   
3977.384   38.6000    8.330000   23.28      63.90001   289.0000   287.0000   433.0000   420.0000   4318.000   
3977.232   44.8000    8.289999   27.04      62.70000   295.0000   290.0000   435.0000   416.0000   4299.000   
3977.079   58.2000    8.289999   34.51      61.30000   306.0000   299.0000   427.0000   413.0000   4299.000   
3976.927   78.2000    8.299999   52.97      60.10000   311.0000   304.0000   423.0000   411.0000   4323.000   
3976.774   99.5000    8.369999   76.91      59.50000   312.0000   309.0000   418.0000   418.0000   4357.000   
3976.622   115.5000   8.490000   101.86     59.70000   306.0000   310.0000   417.0000   425.0000   4352.000   
3976.470   123.9000   8.510000   126.77     60.30000   300.0000   304.0000   421.0000   428.0000   4333.000   
3976.317   125.4000   8.480000   143.88     60.40000   297.0000   297.0000   421.0000   433.0000   4343.000   
3976.165   121.3000   8.500000   150.66     60.40000   292.0000   285.0000   425.0000   434.0000   4357.000   
3976.013   115.6000   8.439999   150.66     60.70000   291.0000   285.0000   426.0000   428.0000   4382.000   
3975.860   111.8000   8.469999   133.97     60.80000   291.0000   284.0000   429.0000   409.0000   4396.000   
3975.708   109.9000   8.570000   108.89     60.70000   291.0000   285.0000   429.0000   406.0000   4426.000   
3975.555   106.4000   8.410000   98.86      60.00000   298.0000   288.0000   428.0000   403.0000   4411.000   
3975.403   99.6000    8.469999   116.95     58.70000   302.0000   291.0000   422.0000   400.0000   4396.000   
3975.250   92.7000    8.459999   2213.09    57.70000   304.0000   294.0000   414.0000   403.0000   4387.000   
3975.098   89.4000    8.449999   6426.88    58.00000   307.0000   298.0000   409.0000   405.0000   4367.000   
3974.946   91.2000    8.480000   8912.51    59.50000   300.0000   297.0000   405.0000   408.0000   4352.000   
3974.793   95.8000    8.449999   7550.92    60.90000   294.0000   292.0000   407.0000   416.0000   4343.000   
3974.641   100.5000   8.510000   3681.29    61.70000   286.0000   290.0000   409.0000   421.0000   4343.000   
3974.488   104.7000   8.449999   1183.04    62.20000   285.0000   291.0000   416.0000   420.0000   4352.000   
3974.336   107.3000   8.439999   487.53     61.70000   285.0000   289.0000   419.0000   420.0000   4382.000   
3974.184   106.0000   8.469999   150.66     60.20000   288.0000   286.0000   422.0000   420.0000   4392.000   
3974.031   100.8000   8.430000   153.82     58.60000   290.0000   294.0000   425.0000   416.0000   4406.000   
3973.879   94.6000    8.410000   200.91     57.80000   296.0000   298.0000   420.0000   405.0000   4411.000   
3973.727   90.0000    8.459999   248.89     57.70000   303.0000   298.0000   415.0000   408.0000   4392.000   
3973.574   88.2000    8.439999   403.65     57.70000   307.0000   300.0000   413.0000   411.0000   4377.000   
3973.422   89.1000    8.459999   672.98     58.30000   305.0000   301.0000   412.0000   413.0000   4372.000   
3973.270   91.8000    8.490000   805.38     59.30000   298.0000   301.0000   414.0000   417.0000   4357.000   
3973.117   91.8000    8.490000   805.38     59.30000   298.0000   301.0000   414.0000   417.0000   4357.000   
3972.964   93.6000    8.459999   680.77     59.50000   295.0000   295.0000   418.0000   422.0000   4352.000   
3972.812   92.8000    8.480000   421.70     59.30000   294.0000   292.0000   424.0000   425.0000   4352.000   
3972.660   91.0000    8.480000   274.79     59.40000   292.0000   292.0000   423.0000   423.0000   4357.000   
3972.507   90.1000    8.439999   2290.87    59.80000   292.0000   289.0000   419.0000   414.0000   4357.000   
3972.355   91.8000    8.430000   6353.31    60.50000   296.0000   291.0000   417.0000   410.0000   4382.000   
