WellName:  1API 0001  PR
Field:     PR-01
Operator:  PETROBRAS
Country:   BRA
RunNumber: 0

DEPT       CALI       GR         BIT        FFDC       NFDC       RHOB       DRHO        FCNL       NCNL       NPHI       TENS       
M          IN         GAPI       IN         CPS        CPS        G/CC       G/CC        CPS        CPS        LS         LB         
5902.044   8.20110    29.3036    8.500000   267.375    424.8906   2.552668   -0.017162   1189.589   899.5461   0.6725     6188.755   
5901.892   8.20110    29.5432    8.500000   267.726    423.4130   2.548115   -0.020303   1149.762   884.3663   0.7564     6178.385   
5901.739   8.20110    29.0083    8.500000   269.656    423.3839   2.545905   -0.021794   1118.048   871.6462   0.8258     6194.244   
5901.587   8.20110    30.0436    8.500000   268.759    424.7357   2.551126   -0.018492   1100.831   862.8972   0.8711     6214.984   
5901.435   8.20110    32.4725    8.500000   266.835    430.1347   2.563486   -0.006620   1093.836   862.5679   0.9053     6203.395   
5901.282   8.20110    34.2323    8.500000   264.672    433.7428   2.576075   0.001912    1092.131   866.1760   0.9323     6177.164   
5901.130   8.21575    33.5517    8.500000   263.281    435.7184   2.583579   0.006721    1089.323   864.7882   0.9328     6177.774   
5900.977   8.20110    30.6480    8.500000   261.463    433.4003   2.584106   0.003695    1080.521   854.7219   0.9170     6235.725   
5900.824   8.20110    27.5146    8.500000   261.105    428.8239   2.579994   -0.004803   1069.345   839.0985   0.8864     6292.455   
5900.672   8.20110    28.7721    8.500000   261.472    427.6559   2.580423   -0.007338   1065.121   834.2251   0.8430     6333.324   
5900.520   8.20110    33.6012    8.500000   264.806    440.6660   2.591851   0.014896    1071.823   826.2384   0.8118     6357.420   
5900.367   8.20110    39.7856    8.500000   272.013    463.5201   2.604949   0.051319    1059.447   823.5662   0.8316     6337.595   
5900.215   8.18645    47.5612    8.500000   282.753    480.3029   2.606859   0.072976    1037.329   818.1910   0.9533     6189.975   
5900.062   8.20110    54.4931    8.500000   288.863    483.1598   2.594515   0.073604    994.827    815.3424   1.1629     6185.095   
5899.910   8.20110    59.1540    8.500000   291.407    473.0873   2.575333   0.054440    952.020    815.5311   1.4653     6131.415   
5899.758   8.18645    61.2046    8.500000   288.358    458.2887   2.561301   0.030279    923.505    825.2966   1.7394     6143.005   
5899.605   8.20110    60.4949    8.500000   284.889    454.5592   2.563211   0.025944    913.900    821.7333   1.8868     6117.995   
5899.453   8.20110    58.3169    8.500000   287.774    470.4036   2.570981   0.052246    889.301    808.1678   1.9372     6105.489   
5899.301   8.18645    57.6462    8.500000   311.088    501.7161   2.566629   0.089938    865.248    782.9331   1.9525     6136.295   
5899.148   8.20110    58.2953    8.500000   350.652    546.8397   2.544713   0.137191    837.900    757.6339   1.9457     6197.295   
5898.996   8.20110    57.7056    8.500000   389.292    579.7323   2.514830   0.164575    812.081    738.6572   1.9788     6234.505   
5898.844   8.27434    55.2042    8.500000   406.701    582.8428   2.488572   0.160257    799.115    729.2653   1.9796     6259.515   
5898.691   8.33293    50.6105    8.500000   399.232    564.1385   2.477725   0.137003    794.615    727.9617   1.9846     6260.734   
5898.539   8.39152    43.0493    8.500000   379.027    544.0006   2.484268   0.117339    796.431    732.6096   1.9751     6226.575   
5898.387   8.42082    34.9291    8.500000   369.339    542.7064   2.497808   0.120546    806.710    740.4232   1.9629     6194.244   
5898.233   8.40617    29.4743    8.500000   381.305    565.0380   2.505837   0.147501    821.388    754.6481   1.9781     6182.655   
5898.081   8.40617    26.3101    8.500000   400.915    590.7422   2.503768   0.174245    834.515    769.1736   1.9867     6120.739   
5897.929   8.42081    25.2867    8.500000   414.799    601.8809   2.497286   0.182881    845.596    776.9403   1.9539     6155.814   
5897.776   8.42081    25.3133    8.500000   417.859    604.4590   2.493611   0.184945    850.173    775.5383   1.9032     6197.295   
5897.624   8.43546    24.4235    8.500000   414.069    600.4387   2.495409   0.181249    847.326    769.8431   1.8411     6166.489   
5897.472   8.43546    23.4388    8.500000   411.237    600.9349   2.496536   0.183305    844.704    761.9554   1.7774     6213.155   
5897.319   8.45011    22.5017    8.500000   419.430    606.7435   2.492485   0.187311    845.196    755.1779   1.6868     6266.225   
5897.167   8.46476    23.0671    8.500000   429.657    614.5555   2.484250   0.193071    853.320    753.7073   1.5929     6267.140   
5897.015   8.46476    23.5829    8.500000   430.163    608.8353   2.480083   0.185108    869.854    761.5056   1.5111     6231.455   
5896.862   8.46476    23.4141    8.500000   415.930    594.9794   2.486546   0.172803    896.162    776.3297   1.4235     6179.300   
5896.710   8.46476    21.6970    8.500000   393.024    577.5231   2.504426   0.159513    930.806    794.5647   1.3127     6140.564   
5896.558   8.46476    19.6758    8.500000   369.721    561.5328   2.524584   0.148521    968.153    810.5485   1.1777     6135.075   
5896.405   8.46476    17.0636    8.500000   356.312    550.4255   2.537445   0.139393    1004.683   821.9080   1.0351     6196.685   
5896.253   8.48123    15.7359    8.500000   351.831    544.7155   2.538177   0.133303    1031.487   826.4633   0.9080     6228.404   
5896.101   8.46476    15.4428    8.500000   350.560    534.9579   2.527652   0.119087    1041.397   823.8612   0.8327     6281.475   
5895.948   8.47940    15.2711    8.500000   351.684    523.8851   2.512914   0.101162    1037.777   814.6741   0.7741     6330.274   
5895.796   8.49771    14.7646    8.500000   358.303    527.4702   2.497045   0.103073    1031.854   803.6661   0.7330     6360.774   
5895.643   8.49405    14.2240    8.500000   385.918    550.4319   2.472592   0.123453    1025.230   797.5187   0.7173     6393.104   
5895.490   8.50870    14.1238    8.500000   430.709    580.8572   2.437633   0.145974    1024.399   795.9650   0.6983     6340.645   
5895.338   8.50870    14.2701    8.500000   473.898    609.6365   2.404373   0.166845    1028.891   794.8292   0.6744     6226.575   
5895.186   8.52334    14.5002    8.500000   501.594    627.0963   2.385199   0.178832    1031.482   792.7980   0.6526     6147.274   
5895.033   8.52335    13.6386    8.500000   503.414    629.6178   2.386351   0.181425    1034.909   797.9453   0.6575     6114.335   
5894.881   8.53799    12.4141    8.500000   487.374    629.0914   2.401805   0.187204    1048.284   810.8196   0.6679     6069.805   
