WellName:  1API 0001  PR
Field:     PR-01
Operator:  PETROBRAS
Country:   BRA
RunNumber: 0

DEPT       GR         CALI       FFDC       NFDC       RHOB       DRHO        NPHI       FCNL       NCNL       TENS       
M          GAPI       IN         CPS        CPS        G/CC       G/CC        %LS        CPS        CPS        LB         
4006.797   83.1000    8.90000    290.100    463.9000   2.577000   0.030000    3.44000    592.2000   689.1000   4274.000   
4006.645   89.2000    8.90000    289.700    472.8000   2.582000   0.040000    3.99000    591.0000   725.4000   4266.000   
4006.493   84.9000    8.89000    294.300    480.2000   2.585000   0.049000    4.89000    576.4000   682.1000   4241.000   
4006.340   80.2000    8.87000    299.100    486.5000   2.586000   0.059000    5.68000    570.2000   612.7000   4252.000   
4006.188   80.1000    8.87000    303.200    495.8000   2.588000   0.071000    5.89000    583.2999   572.2000   4266.000   
4006.035   83.0000    8.85000    305.600    501.6000   2.596000   0.079000    5.44000    530.6000   565.6000   4298.000   
4005.883   88.4000    8.87000    302.500    494.0000   2.610000   0.074000    4.67000    527.4000   579.4000   4316.000   
4005.730   97.3000    8.87000    292.400    475.6000   2.623000   0.054000    4.12000    538.2000   619.6000   4331.000   
4005.578   108.2000   8.89000    280.300    458.9000   2.624000   0.033000    3.99000    552.9000   617.6000   4344.000   
4005.426   117.6000   8.89000    273.500    450.4000   2.617000   0.019000    4.16000    554.9000   631.2999   4328.000   
4005.273   121.5000   8.87000    271.900    449.5000   2.609000   0.016000    4.38000    569.6000   612.7000   4303.000   
4005.121   116.5000   8.87000    273.600    454.7000   2.602000   0.022000    4.48000    556.7999   622.5000   4272.000   
4004.969   104.2000   8.87000    278.100    464.1000   2.598000   0.033000    4.40000    576.4000   627.4000   4235.000   
4004.816   89.7000    8.86000    285.500    480.0000   2.593000   0.052000    4.10000    608.7999   609.9000   4233.000   
4004.664   78.1000    8.84000    298.100    501.1000   2.590000   0.075000    3.51000    686.1000   637.7999   4242.000   
4004.511   69.6000    8.85000    310.300    513.6000   2.595000   0.092000    2.81000    619.4000   640.1000   4298.000   
4004.359   66.2000    8.84000    309.400    504.4000   2.613000   0.087000    2.52000    607.7999   635.2000   4338.000   
4004.207   75.7000    8.86000    293.500    476.7000   2.635000   0.060000    2.79000    575.4000   611.6000   4347.000   
4004.054   96.9000    8.89000    273.300    449.5000   2.644000   0.027000    3.93000    426.2000   492.2000   4338.000   
4003.902   117.3000   8.86000    261.400    436.2000   2.635000   0.006000    5.96000    289.3000   445.0000   4346.000   
4003.750   126.5000   8.86000    259.000    437.3000   2.622000   0.004000    8.70000    273.0000   459.8000   4333.000   
4003.597   126.7000   8.87000    261.300    447.7000   2.617000   0.016000    11.36000   300.0000   450.0000   4333.000   
4003.444   124.3000   8.87000    266.900    459.1000   2.617000   0.029000    12.89000   289.2000   475.4000   4320.000   
4003.292   123.0000   8.87000    274.000    464.7000   2.615000   0.035000    13.26000   284.3000   445.5000   4267.000   
4003.140   124.8000   8.89000    280.700    469.7000   2.606000   0.042000    13.52000   254.4000   421.3000   4333.000   
4002.987   124.5000   8.87000    289.600    484.8000   2.596000   0.060000    14.09000   257.2000   407.8000   4341.000   
4002.835   110.3000   8.87000    299.700    501.8000   2.597000   0.078000    14.02000   268.6000   441.1000   4405.000   
4002.683   81.5000    8.86000    301.900    501.6000   2.612000   0.080000    12.09000   423.5000   600.0000   4468.000   
4002.530   52.4000    8.87000    295.200    483.7000   2.623000   0.062000    8.38000    634.6000   687.2999   4513.000   
4002.378   36.3000    8.87000    288.000    467.9000   2.614000   0.038000    4.84000    711.6000   713.7000   4549.000   
4002.225   31.2000    8.87000    290.100    465.5000   2.587000   0.025000    2.83000    715.6000   709.7999   4441.000   
4002.073   28.7000    8.87000    301.000    470.0000   2.557000   0.023000    2.38000    704.9000   729.4000   4301.000   
4001.920   26.1000    8.87000    313.400    476.4000   2.532000   0.028000    2.53000    682.2999   720.5000   4352.000   
4001.768   24.7000    8.87000    325.100    488.3000   2.516000   0.042000    2.93000    653.9000   628.4000   4422.000   
4001.616   24.8000    8.85000    334.600    503.1000   2.514000   0.060000    3.40000    607.7999   584.2999   4474.000   
4001.463   25.6000    8.84000    339.000    509.1000   2.526000   0.069000    3.53000    587.2000   579.4000   4525.000   
4001.311   26.1000    8.85000    335.300    499.9000   2.541000   0.062000    3.29000    576.4000   600.0000   4579.000   
4001.159   25.3000    8.84000    325.000    480.9000   2.549000   0.041000    2.93000    599.0000   637.2000   4469.000   
4001.006   24.0000    8.85000    315.000    465.5000   2.542000   0.018000    2.76000    616.6000   680.1000   4396.000   
4000.854   24.0000    8.85000    312.800    460.8000   2.524000   0.006000    2.86000    641.5000   667.2999   4363.000   
4000.701   25.4000    8.84000    318.700    466.0000   2.502000   0.008000    3.19000    619.7999   651.4000   4372.000   
4000.549   26.8000    8.85000    328.300    478.5000   2.488000   0.022000    3.68000    563.2999   660.1000   4382.000   
4000.396   27.3000    8.84000    338.900    492.5000   2.484000   0.038000    4.31000    557.2000   670.5000   4359.000   
4000.244   27.8000    8.84000    348.400    501.5000   2.485000   0.048000    4.99000    564.7000   665.0000   4344.000   
4000.092   28.3000    8.82000    354.700    503.0000   2.486000   0.051000    5.59000    549.5000   617.6000   4351.000   
3999.939   27.1000    8.81000    355.600    499.9000   2.488000   0.051000    5.89000    536.2000   571.7999   4336.000   
3999.787   25.3000    8.82000    349.400    494.4000   2.497000   0.048000    5.72000    515.5000   583.1000   4304.000   
3999.635   25.4000    8.83000    337.900    485.7000   2.512000   0.041000    5.04000    596.0000   648.5000   4291.000   
3999.482   28.5000    8.82000    325.400    475.9000   2.526000   0.033000    3.95000    687.2999   694.1000   4327.000   
3999.330   33.6000    8.82000    316.500    473.2000   2.532000   0.032000    2.90000    699.0000   705.7999   4346.000   
3999.177   39.1000    8.83000    314.900    483.4000   2.534000   0.043000    2.34000    750.9000   728.4000   4417.000   
3999.025   44.1000    8.86000    320.900    498.9000   2.537000   0.060000    2.12000    764.7000   726.4000   4442.000   
3998.873   46.3000    8.86000    328.100    507.4000   2.544000   0.072000    2.05000    759.7999   747.5000   4423.000   
3998.720   44.3000    8.85000    329.200    506.9000   2.554000   0.078000    1.99000    800.0000   722.5000   4362.000   
3998.568   40.0000    8.86000    324.600    508.7001   2.564000   0.084000    1.93000    778.4000   688.2000   4284.000   
3998.416   36.9000    8.86000    322.300    518.2999   2.572000   0.094000    1.88000    724.5000   630.2999   4250.000   
3998.263   37.1000    8.86000    327.400    525.1000   2.576000   0.100000    1.91000    626.4000   599.0000   4254.000   
3998.110   40.5000    8.86000    332.200    520.6000   2.576000   0.098000    1.97000    647.0000   640.5000   4305.000   
3997.958   45.2000    8.87000    329.800    521.2000   2.574000   0.103000    1.96000    721.7000   688.1000   4327.000   
3997.806   48.3000    8.87000    332.000    552.4000   2.566000   0.131000    1.82000    754.4000   721.7000   4301.000   
3997.653   49.9000    9.35000    360.100    611.2999   2.547000   0.176000    1.48000    732.6000   710.7999   4401.000   
3997.501   52.3000    9.69000    420.400    669.0000   2.511000   0.215000    1.38000    737.6000   717.6000   4455.000   
3997.349   55.5000    9.67000    492.600    702.9000   2.463000   0.235000    1.55000    734.2999   680.5000   4500.000   
3997.196   56.2000    9.68000    548.800    716.6000   2.421000   0.243000    1.69000    703.7999   648.5000   4547.000   
3997.044   52.7000    9.69000    579.100    721.1000   2.394000   0.245000    1.74000    660.2999   595.1000   4655.000   
3996.891   49.5000    9.68000    589.800    721.0000   2.383000   0.245000    1.80000    601.9000   567.9000   4650.000   
3996.739   50.6000    9.67000    589.900    720.7999   2.381000   0.246000    1.84000    559.2000   547.0000   4406.000   
3996.586   54.3000    9.66000    586.500    719.2999   2.386000   0.247000    1.84000    597.0000   597.0000   4236.000   
3996.434   57.2000    9.81000    574.000    709.9000   2.402000   0.247000    1.60000    679.4000   656.2999   4318.000   
3996.282   59.2000    9.93000    545.100    694.2000   2.431000   0.245000    1.29000    719.4000   661.1000   4391.000   
