WellName:  1API 0001  PR
Field:     PR-01
Operator:  PETROBRAS
Country:   BRA
RunNumber: 0

DEPT       GR         CALI       ILD        ILM        LL3        DT         TT1        TT2        TT3        TT4        TENS       
M          GAPI       IN         OHMM       OHMM       OHMM       US/F       US         US         US         US         LB         
2679.088   59.1000    12.49000   14.5       19.4       56.2341    58.30000   365.0000   367.0000   466.0000   483.0000   3143.000   
2678.936   56.8000    12.51000   14.5       19.6       56.3638    57.90000   367.0000   371.0000   457.0000   481.0000   3081.000   
2678.784   54.1000    12.53000   14.5       19.9       56.2341    58.60000   366.0000   366.0000   467.0000   483.0000   3049.000   
2678.631   50.5000    12.56000   14.7       20.0       57.6767    60.10000   355.0000   355.0000   479.0000   489.0000   3063.000   
2678.479   46.5000    12.63000   14.7       20.0       56.2341    60.90000   355.0000   355.0000   486.0000   495.0000   3078.000   
2678.327   45.0000    12.34000   14.7       19.9       55.4626    60.70000   358.0000   360.0000   486.0000   489.0000   3071.000   
2678.174   48.8000    12.13000   14.7       19.8       54.2001    59.80000   361.0000   362.0000   483.0000   487.0000   3060.000   
2678.021   57.1000    12.76000   14.5       19.5       53.0884    58.90000   364.0000   361.0000   489.0000   485.0000   3067.000   
2677.869   67.3000    12.83000   14.3       19.1       44.1570    58.20000   369.0000   367.0000   488.0000   482.0000   3065.000   
2677.717   78.2000    12.82000   14.1       18.3       33.0370    58.30000   371.0000   370.0000   477.0000   477.0000   3074.000   
2677.564   89.6000    12.81000   13.9       17.6       24.3220    59.10000   369.0000   368.0000   467.0000   484.0000   3064.000   
2677.412   98.6000    12.77000   13.8       16.9       21.9280    59.50000   365.0000   367.0000   466.0000   488.0000   3053.000   
2677.260   102.1000   12.68000   13.7       16.3       24.7742    59.80000   360.0000   367.0000   469.0000   490.0000   3105.000   
2677.107   98.3000    12.67000   13.6       16.0       31.0456    61.40000   354.0000   364.0000   475.0000   488.0000   3113.000   
2676.955   88.9000    12.89000   13.6       16.1       39.4457    63.60001   355.0000   358.0000   481.0000   492.0000   3072.000   
2676.803   77.7000    12.33000   13.5       16.7       45.7088    64.39999   357.0000   364.0000   485.0000   499.0000   3049.000   
2676.650   67.7000    12.23000   13.5       17.9       48.7528    64.09999   362.0000   369.0000   489.0000   497.0000   3059.000   
2676.498   60.2000    12.27000   13.6       19.3       51.9996    62.60000   364.0000   371.0000   493.0000   494.0000   3057.000   
2676.345   54.6000    12.36000   13.8       20.4       55.8470    60.70000   377.0000   377.0000   495.0000   495.0000   3047.000   
2676.193   51.3000    12.41000   14.0       20.7       57.8096    59.80000   377.0000   376.0000   496.0000   497.0000   3082.000   
2676.041   50.5000    12.42000   14.0       20.4       56.1048    59.40000   377.0000   377.0000   491.0000   501.0000   3135.000   
2675.888   50.2000    12.33000   14.0       19.8       51.6416    59.40000   377.0000   375.0000   482.0000   501.0000   3139.000   
