WellName:  1API 0001  PR
Field:     PR-01
Operator:  PETROBRAS
Country:   BRA
RunNumber: 0

DEPT       GR         CALI       ILD        ILM        LL3         DT         TENS   
M          GAPI       IN         OHMM       OHMM       OHMM        US/F       LB     
3390.644   35.1000    12.30000   305.5      97.9       372.3918    50.30000   3792   
3390.492   35.3000    12.31000   348.3      103.0      370.6808    50.20000   3821   
3390.339   34.2000    12.31000   361.4      104.0      378.4427    49.90000   3829   
3390.187   32.8000    12.32000   349.1      101.2      398.1072    49.50000   3813   
3390.035   32.4000    12.36000   317.0      96.4       413.0476    49.10000   3793   
3389.882   33.6000    12.36000   307.6      93.8       421.6966    48.80000   3813   
3389.729   35.0000    12.35000   319.9      94.8       415.9107    48.60000   3803   
3389.577   35.4000    12.34000   321.4      99.8       371.5353    48.60000   3875   
3389.425   35.2000    12.34000   313.3      107.2      313.3286    48.80000   3884   
3389.272   35.4000    12.35000   312.6      111.9      265.4606    49.20000   3834   
3389.120   36.6000    12.35000   319.2      109.6      251.7678    49.80000   3790   
3388.968   37.9000    12.56000   306.2      101.4      252.3481    50.50000   3774   
3388.815   38.2000    12.57000   289.1      93.1       272.2702    50.70000   3797   
3388.663   37.2000    12.58000   274.2      88.5       303.3892    50.30000   3808   
3388.511   36.5000    12.57000   280.5      87.3       328.8517    49.90000   3802   
3388.358   36.7000    12.57000   294.4      87.7       329.6098    49.90000   3793   
3388.206   37.1000    12.57000   294.4      88.7       313.3286    49.80000   3793   
3388.053   37.1000    12.57000   287.1      89.7       298.5383    49.30000   3803   
3387.901   36.7000    12.57000   288.4      88.9       293.0894    49.30000   3813   
3387.749   36.0000    12.61000   297.2      86.9       290.4023    49.60000   3809   
3387.596   34.7000    12.63000   295.8      85.1       287.7399    49.50000   3798   
3387.444   34.2000    12.63000   271.6      84.7       283.1393    49.20000   3791   
3387.292   35.6000    12.65000   271.6      85.7       279.8982    49.10000   3790   
3387.139   37.8000    12.67000   296.5      86.9       279.8982    49.10000   3839   
3386.986   38.2000    12.63000   340.4      87.1       277.9714    49.40000   3874   
3386.834   36.8000    12.65000   353.2      85.3       267.9169    49.80000   3848   
3386.682   35.4000    12.63000   317.7      81.8       261.2162    50.10000   3806   
3386.529   35.1000    12.61000   294.4      79.8       258.8214    50.10000   3787   
3386.377   35.9000    12.54000   302.7      81.1       264.2409    49.60000   3798   
