WellName:  1API 0001  PR
Field:     PR-01
Operator:  PETROBRAS
Country:   BRA
RunNumber: 0

DEPT       SP         GR         CALI       ILD        SN         TENS       
M          MV         GAPI       IN         OHMM       OHMM       LB         
4012.741   23.40000   80.1000    9.05000    18.9       22.69865   4417.000   
4012.588   22.90000   76.1000    9.19000    18.3       22.59436   4413.000   
4012.436   23.80000   71.9000    9.19000    17.1       22.49054   4348.000   
4012.284   24.50000   68.2000    9.18000    15.9       22.33572   4305.000   
4012.131   23.40000   64.0000    9.16000    14.9       22.23310   4351.000   
4011.979   22.60000   59.8000    9.05000    14.0       22.08004   4397.000   
4011.827   22.70000   56.7000    9.00000    13.0       21.87762   4391.000   
4011.674   22.70000   55.7000    8.99000    12.4       21.67704   4364.000   
4011.521   22.50000   56.2000    9.00000    12.2       21.47831   4335.000   
4011.369   22.30000   55.9000    8.97000    12.2       21.23244   4338.000   
4011.217   23.40000   53.8000    8.97000    12.3       21.13489   4285.000   
4011.064   24.30000   49.8000    8.97000    12.5       21.18361   4278.000   
4010.912   24.70000   46.1000    8.94000    13.0       21.47831   4296.000   
4010.760   26.30000   45.2000    8.92000    13.8       22.02927   4343.000   
4010.607   27.90000   47.7000    8.91000    14.7       22.75097   4370.000   
4010.455   29.40000   54.8000    8.92000    15.5       23.38837   4370.000   
4010.303   31.50000   68.8000    8.91000    16.6       24.04363   4356.000   
4010.150   32.40000   83.2000    8.90000    18.5       24.54709   4347.000   
4009.998   34.20000   83.8000    8.89000    21.5       25.06110   4328.000   
4009.845   34.70000   67.1000    8.90000    24.9       25.82260   4338.000   
4009.693   34.80000   45.1000    8.88000    27.4       26.85344   4336.000   
4009.541   35.00000   30.7000    8.90000    28.8       28.11901   4331.000   
4009.388   34.70000   24.6000    8.89000    30.8       29.58012   4340.000   
4009.236   36.80000   22.0000    8.90000    36.4       31.11716   4318.000   
4009.083   38.00000   23.0000    8.89000    47.0       32.58367   4328.000   
4008.931   38.40000   27.8000    8.91000    58.2       33.88441   4380.000   
4008.778   39.40000   34.0000    8.94000    58.5       35.07518   4436.000   
4008.626   40.50000   37.6000    8.92000    55.0       35.89219   4455.000   
4008.474   40.10000   37.3000    8.92000    56.8       36.55947   4406.000   
4008.321   39.80000   35.4000    8.91000    65.3       37.06807   4360.000   
4008.169   40.10000   34.7000    8.91000    77.8       37.49730   4331.000   
4008.017   40.80000   35.3000    8.90000    86.3       38.10658   4285.000   
4007.864   40.70000   36.0000    8.86000    89.9       38.72577   4256.000   
4007.712   40.70000   35.9000    8.87000    91.4       39.35501   4248.000   
4007.559   41.50000   36.5000    8.91000    92.7       39.81071   4304.000   
4007.407   42.90000   38.0000    8.91000    94.4       39.99448   4340.000   
4007.254   42.60000   40.8000    8.91000    93.3       39.99448   4351.000   
4007.102   43.20000   49.7000    8.92000    82.4       39.81071   4355.000   
4006.950   43.10000   66.6000    8.92000    69.3       39.44572   4342.000   
4006.797   43.60000   83.1000    8.90000    61.9       39.17419   4274.000   
4006.645   43.50000   89.2000    8.90000    59.8       38.81503   4266.000   
4006.493   43.30000   84.9000    8.89000    59.3       38.45918   4241.000   
4006.340   43.60000   80.2000    8.87000    44.9       37.93150   4252.000   
4006.188   42.80000   80.1000    8.87000    27.6       37.49730   4266.000   
4006.035   43.20000   83.0000    8.85000    19.5       36.98281   4298.000   
4005.883   44.00000   88.4000    8.87000    17.3       36.39150   4316.000   
4005.730   44.00000   97.3000    8.87000    19.7       35.89219   4331.000   
4005.578   43.10000   108.2000   8.89000    26.5       35.39973   4344.000   
4005.426   42.50000   117.6000   8.89000    37.4       34.91403   4328.000   
4005.273   43.00000   121.5000   8.87000    48.0       34.51437   4303.000   
4005.121   42.60000   116.5000   8.87000    50.4       34.11929   4272.000   
4004.969   42.30000   104.2000   8.87000    48.6       33.57376   4235.000   
4004.816   43.00000   89.7000    8.86000    48.0       32.80953   4233.000   
4004.664   42.90000   78.1000    8.84000    47.0       31.62278   4242.000   
4004.511   43.90000   69.6000    8.85000    43.6       30.26913   4298.000   
4004.359   43.10000   66.2000    8.84000    38.5       28.84032   4338.000   
4004.207   42.40000   75.7000    8.86000    33.7       27.54229   4347.000   
4004.054   42.10000   96.9000    8.89000    29.9       26.42409   4338.000   
4003.902   41.20000   117.3000   8.86000    26.9       25.64484   4346.000   
4003.750   41.00000   126.5000   8.86000    24.2       25.06110   4333.000   
4003.597   40.00000   126.7000   8.87000    22.0       24.54709   4333.000   
4003.444   39.00000   124.3000   8.87000    20.6       24.09905   4320.000   
4003.292   38.60000   123.0000   8.87000    19.6       23.71374   4267.000   
4003.140   37.40000   124.8000   8.89000    19.2       23.44229   4333.000   
4002.987   36.70000   124.5000   8.87000    19.3       23.33458   4341.000   
4002.835   34.70000   110.3000   8.87000    20.0       23.38837   4405.000   
4002.683   33.40000   81.5000    8.86000    21.2       23.49633   4468.000   
4002.530   31.50000   52.4000    8.87000    22.4       23.76841   4513.000   
4002.378   30.00000   36.3000    8.87000    23.1       23.98833   4549.000   
4002.225   27.80000   31.2000    8.87000    23.7       24.15461   4441.000   
4002.073   25.90000   28.7000    8.87000    24.5       24.26610   4301.000   
4001.920   24.80000   26.1000    8.87000    26.1       24.71724   4352.000   
4001.768   24.40000   24.7000    8.87000    28.1       25.40973   4422.000   
4001.616   24.10000   24.8000    8.85000    29.7       26.18183   4474.000   
4001.463   22.50000   25.6000    8.84000    29.9       26.97739   4525.000   
4001.311   22.10000   26.1000    8.85000    26.8       27.73320   4579.000   
4001.159   21.10000   25.3000    8.84000    22.5       28.18383   4469.000   
4001.006   20.10000   24.0000    8.85000    20.1       28.24880   4396.000   
4000.854   19.70000   24.0000    8.85000    19.9       28.24880   4363.000   
4000.701   19.20000   25.4000    8.84000    20.8       28.11901   4372.000   
4000.549   18.00000   26.8000    8.85000    21.1       27.79713   4382.000   
4000.396   17.60000   27.3000    8.84000    20.7       27.47894   4359.000   
4000.244   17.50000   27.8000    8.84000    20.0       27.16439   4344.000   
4000.092   18.30000   28.3000    8.82000    19.2       26.97739   4351.000   
3999.939   18.20000   27.1000    8.81000    18.9       26.97739   4336.000   
3999.787   19.60000   25.3000    8.82000    19.6       27.28978   4304.000   
3999.635   20.80000   25.4000    8.83000    21.0       27.86121   4291.000   
3999.482   21.40000   28.5000    8.82000    22.3       28.84032   4327.000   
3999.330   23.00000   33.6000    8.82000    22.8       29.92264   4346.000   
3999.177   24.10000   39.1000    8.83000    23.1       31.11716   4417.000   
3999.025   24.90000   44.1000    8.86000    23.9       32.13660   4442.000   
3998.873   26.50000   46.3000    8.86000    26.3       32.96097   4423.000   
3998.720   28.40000   44.3000    8.85000    30.6       33.57376   4362.000   
3998.568   29.10000   40.0000    8.86000    37.2       34.19794   4284.000   
3998.416   28.80000   36.9000    8.86000    45.3       34.99451   4250.000   
