WellName:  1API 0001  PR
Field:     PR-01
Operator:  PETROBRAS
Country:   BRA
RunNumber: 0

DEPT       CALI       GR         MSFL       TT1        TT2        TT3        TT4        DT         ITT        ILD        ILM        TENS       
M          IN         GAPI       OHMM       US         US         US         US         US/F       MS         OHMM       OHMM       LB         
4005.578   9.65139    81.2401    38.733     284.0000   284.0000   401.0000   397.0000   57.70293   0.0        60.992     68.891     4175.145   
4005.426   9.64766    85.7266    24.304     284.0000   285.0000   405.0000   396.0000   58.00916   0.0        53.984     59.662     4176.975   
4005.273   9.65311    82.2515    19.895     283.0000   284.0000   408.0000   396.0000   58.46059   0.0        49.012     51.079     4183.685   
4005.121   9.66200    76.1521    18.069     288.0000   283.0000   411.0000   399.0000   58.66084   0.0        47.841     47.584     4176.975   
4004.969   9.67090    74.3992    20.060     291.0000   283.0000   413.0000   401.0000   58.83351   0.0        51.878     43.988     4137.630   
4004.816   9.69558    78.6550    34.180     293.0000   286.0000   413.0000   403.0000   58.87293   0.0        56.798     40.686     4140.680   
4004.664   9.72284    86.0697    44.881     291.0000   282.0000   414.0000   406.0000   58.99849   0.0        59.055     37.866     4151.354   
4004.511   9.73546    93.3444    32.139     292.0000   284.0000   413.0000   406.0000   59.07683   0.0        57.524     36.832     4163.555   
4004.359   9.70218    99.5817    29.301     290.0000   287.0000   410.0000   397.0000   59.18033   0.0        55.750     38.261     4194.664   
4004.207   9.66286    103.2501   35.737     290.0000   283.0000   405.0000   394.0000   59.05375   0.0        53.780     42.971     4240.415   
4004.054   9.63474    103.9936   43.819     290.0000   276.0000   401.0000   395.0000   58.60963   0.0        54.913     50.092     4234.925   
4003.902   9.64278    100.7259   41.775     289.0000   275.0000   405.0000   399.0000   57.80223   0.0        54.035     55.442     4250.784   
4003.750   9.65885    96.8625    20.478     283.0000   279.0000   408.0000   402.0000   57.04307   1.000000   50.972     53.783     4214.795   
4003.597   9.66861    92.9183    14.886     284.0000   284.0000   411.0000   405.0000   56.79053   0.0        45.976     46.553     4175.755   
4003.444   9.66689    89.1925    16.977     292.0000   289.0000   418.0000   408.0000   57.57077   0.0        40.217     38.687     4159.895   
