WellName:  1API 0001  PR
Field:     PR-01
Operator:  PETROBRAS
Country:   BRA
RunNumber: 0

DEPT       GR         CALI       MSFL       DT         TT1        TT2        TT3        TT4        TENS       
M          GAPI       IN         OHMM       US/F       US         US         US         US         LB         
3891.125   18.8000    7.31000    4.63       69.59999   327.0000   330.0000   467.0000   469.0000   4313.000   
3890.973   17.8000    7.33000    4.63       70.20000   328.0000   331.0000   467.0000   469.0000   4313.000   
3890.821   16.8000    7.15000    4.79       70.39999   330.0000   333.0000   467.0000   470.0000   4313.000   
3890.668   16.5000    7.31000    5.08       70.59999   330.0000   333.0000   470.0000   471.0000   4313.000   
3890.516   16.9000    7.25000    5.32       70.30000   331.0000   334.0000   472.0000   474.0000   4304.000   
3890.364   17.3000    7.22000    5.53       70.00000   332.0000   336.0000   474.0000   475.0000   4289.000   
3890.211   16.8000    7.47000    5.50       70.00000   334.0000   335.0000   474.0000   476.0000   4279.000   
3890.059   16.6000    7.38000    5.21       70.00000   333.0000   335.0000   473.0000   476.0000   4294.000   
3889.907   17.7000    7.34000    4.79       70.00000   334.0000   336.0000   474.0000   476.0000   4323.000   
3889.754   19.0000    7.37000    4.45       70.00000   334.0000   336.0000   474.0000   477.0000   4348.000   
3889.602   18.8000    7.38000    4.36       70.00000   333.0000   337.0000   475.0000   477.0000   4309.000   
3889.449   17.3000    7.26000    4.38       70.09999   334.0000   336.0000   476.0000   478.0000   4294.000   
3889.297   16.5000    7.31000    4.45       70.20000   334.0000   336.0000   476.0000   477.0000   4274.000   
3889.145   16.9000    7.32000    4.55       69.89999   333.0000   335.0000   475.0000   477.0000   4265.000   
3888.992   17.6000    7.28000    4.66       69.39999   333.0000   336.0000   475.0000   477.0000   4260.000   
3888.840   18.2000    7.32000    4.74       69.09999   334.0000   337.0000   474.0000   476.0000   4274.000   
3888.688   18.4000    7.29000    4.81       68.80000   333.0000   336.0000   475.0000   477.0000   4294.000   
3888.535   18.4000    7.32000    4.95       68.59999   334.0000   337.0000   475.0000   475.0000   4299.000   
3888.382   18.4000    7.30000    5.06       68.59999   333.0000   336.0000   474.0000   474.0000   4274.000   
3888.230   18.7000    7.28000    5.16       68.70000   332.0000   335.0000   472.0000   473.0000   4265.000   
