Lito            Codigo        Depth(m)        GR            RHOB        DT            SP
arenito         49.00       3153.92   3.3950E+001   2.6125E+000   5.7496E+001   2.0602E+001
arenito         49.00       3153.77   3.2185E+001   2.5983E+000   5.7818E+001   2.0203E+001
arenito         49.00       3153.61   2.9345E+001   2.5822E+000   5.8288E+001   1.9551E+001
arenito         49.00       3153.46   2.6657E+001   2.5744E+000   5.9189E+001   1.8650E+001
arenito         49.00       3153.31   2.5367E+001   2.5644E+000   5.9864E+001   1.7647E+001
arenito         49.00       3153.16   2.5355E+001   2.5483E+000   6.0089E+001   1.6644E+001
arenito         49.00       3153.00   2.5594E+001   2.5304E+000   6.0236E+001   1.5945E+001
arenito         49.00       3152.85   2.5241E+001   2.5242E+000   6.0622E+001   1.5444E+001
arenito         49.00       3152.70   2.4794E+001   2.5514E+000   6.0951E+001   1.4943E+001
arenito         49.00       3152.55   2.4817E+001   2.5871E+000   6.0996E+001   1.4287E+001
arenito         49.00       3152.39   2.4996E+001   2.6070E+000   6.0947E+001   1.3845E+001
arenito         49.00       3152.24   2.5193E+001   2.6064E+000   6.0625E+001   1.3595E+001
arenito         49.00       3152.09   2.5278E+001   2.5874E+000   6.0532E+001   1.3344E+001
arenito         49.00       3151.94   2.5090E+001   2.5730E+000   6.0801E+001   1.3250E+001
arenito         49.00       3151.78   2.4554E+001   2.5813E+000   6.0867E+001   1.3250E+001
arenito         49.00       3151.63   2.3451E+001   2.5969E+000   6.0707E+001   1.3092E+001
arenito         49.00       3151.48   2.1620E+001   2.6065E+000   6.0698E+001   1.3159E+001
arenito         49.00       3151.33   2.1477E+001   2.6115E+000   6.0796E+001   1.3409E+001
arenito         49.00       3151.17   2.2742E+001   2.6124E+000   6.0800E+001   1.3660E+001
arenito         49.00       3151.02   2.4123E+001   2.6114E+000   6.0688E+001   1.4072E+001
arenito         49.00       3150.87   2.5570E+001   2.5975E+000   6.0320E+001   1.4734E+001
arenito         49.00       3150.72   2.6733E+001   2.5868E+000   5.9925E+001   1.6133E+001
arenito         49.00       3150.57   2.7175E+001   2.5824E+000   5.9614E+001   1.7401E+001
arenito         49.00       3150.41   2.6589E+001   2.5692E+000   5.9639E+001   1.8241E+001
