Rock Code Depth(m) RHOB GR SP DT
Calciferous_Sandstone 8.0 1080.0 2.6471764800741817 43.48484006960314 -58.47026770214714 116.87181073212652
Calciferous_Sandstone 8.0 1090.0 2.456019267744088 18.443126036236933 -65.18151051895794 138.23138965105102
Calciferous_Sandstone 8.0 1100.0 2.4664781055503058 31.747705727799264 -44.3283401037298 157.46729751865792
Calciferous_Sandstone 8.0 1110.0 2.5588625832520613 52.03505781331131 -69.25396232362189 144.91026141904766
Calciferous_Sandstone 8.0 1120.0 2.5468505756215065 49.67247105883154 -56.39543188494552 191.2722940711797
Calciferous_Sandstone 8.0 1130.0 2.4705876302649505 36.77326915505725 -70.77198810820161 165.270321130158
Calciferous_Sandstone 8.0 1140.0 2.6272463253852814 29.559452095795447 -46.48747954812425 145.95150122768712
Calciferous_Sandstone 8.0 1150.0 2.7358909120715422 39.00039235226036 -67.91977744370946 169.13006151780868
Calciferous_Sandstone 8.0 1160.0 2.6944658038015072 35.16996857440718 -56.139649852950214 117.58107020247377
Calciferous_Sandstone 8.0 1170.0 2.707854142636359 28.486097093891612 -63.82379671973352 164.0448154970577
Calciferous_Sandstone 8.0 1180.0 2.62601253271769 35.532281860143 -68.05081048445689 120.91455918085285
Calciferous_Sandstone 8.0 1190.0 2.5088054599011484 38.558170091099385 -57.094606549397184 156.53744026686462
Calciferous_Sandstone 8.0 1200.0 2.5534104133808144 47.56089925162882 -44.61709405993879 141.46612688502387
Calciferous_Sandstone 8.0 1210.0 2.475342922347429 43.85240589063655 -51.08034496639443 131.15434263247036
Calciferous_Sandstone 8.0 1220.0 2.4305650792748263 41.515844335956686 -75.00516000720634 151.47570464109288
Calciferous_Sandstone 8.0 1230.0 2.828319770178146 49.01651872805604 -62.32453503422428 168.8705021581113
Calciferous_Sandstone 8.0 1240.0 2.473028162521372 40.95624308483696 -59.440031194603975 129.98523587354396
Calciferous_Sandstone 8.0 1250.0 2.424945018368509 43.15326851204091 -52.556837198680675 120.792541493337
Calciferous_Sandstone 8.0 1260.0 2.3895453006268275 40.67924163002058 -52.27428342786161 156.15518528358666
Calciferous_Sandstone 8.0 1270.0 2.5213547071341766 45.41552571121888 -57.225689992618754 200.20569953426968
Calciferous_Sandstone 8.0 1280.0 2.6571643953089343 34.62248563899703 -48.980498529930614 158.9080516251563
Calciferous_Sandstone 8.0 1290.0 2.4774592842910517 40.2083359522649 -51.63442119002635 153.00844369012785
Calciferous_Sandstone 8.0 1300.0 2.5025091092685123 45.31924063670104 -56.1849552613587 111.46074531492305
Calciferous_Sandstone 8.0 1310.0 2.2800487431001897 45.27334911004835 -65.45869405194357 133.94381355931606
Calciferous_Sandstone 8.0 1320.0 2.4566027504756587 38.58310961709221 -41.060340830655264 144.8977924718319
Calciferous_Sandstone 8.0 1330.0 2.5931755575060498 39.602994713414525 -52.81480536018663 125.66751951820044
Calciferous_Sandstone 8.0 1340.0 2.590316369779136 30.630706561408488 -38.57299031036288 158.63523131449836
