Rock Code Depth1(m) RHOB GR SP DT
FOLHELHO 57.0 1256.538 2.4407 51.7827 69.25 77.7863
FOLHELHO 57.0 1256.6904 2.4691 54.719 69.25 75.8445
FOLHELHO 57.0 1256.8428 2.4952 56.7342 69.25 74.6773
FOLHELHO 57.0 1256.9952 2.5157 57.5978 69.0869 74.3566
FOLHELHO 57.0 1257.1476 2.5213 58.2975 68.6724 73.7461
FOLHELHO 57.0 1257.3 2.5171 58.9996 68.1711 73.507
FOLHELHO 57.0 1257.4524 2.519 59.2799 67.6701 73.5405
FOLHELHO 57.0 1257.6048 2.5409 59.4047 66.8372 73.4433
FOLHELHO 57.0 1257.7572 2.5437 59.5051 65.8347 74.337
FOLHELHO 57.0 1257.9096 2.5313 58.5784 64.6645 76.7064
ARENITO 49.0 1258.062 2.4914 55.2904 63.7468 79.6471
ARENITO 49.0 1258.2144 2.4269 48.7147 63.5 82.865
ARENITO 49.0 1258.3668 2.3547 41.3766 64.0069 85.3732
ARENITO 49.0 1258.5192 2.3086 35.6623 64.4196 86.3861
ARENITO 49.0 1258.6716 2.2939 30.9317 64.5 86.1102
ARENITO 49.0 1258.824 2.292 29.4754 64.5 85.3729
ARENITO 49.0 1258.9764 2.292 29.4754 64.3285 84.6227
ARENITO 49.0 1259.1288 2.314 29.2172 63.9055 84.022
ARENITO 49.0 1259.2812 2.3309 28.7896 62.8856 83.7533
ARENITO 49.0 1259.4336 2.3264 28.3906 62.3264 83.4704
ARENITO 49.0 1259.586 2.3446 28.6419 62.5985 83.0593
ARENITO 49.0 1259.7384 2.3533 29.5867 63.0995 82.4476
ARENITO 49.0 1259.8908 2.3481 31.3985 63.4255 81.8984
ARENITO 49.0 1260.0432 2.3721 33.6607 64.0284 81.7872
ARENITO 49.0 1260.1956 2.3972 35.9913 64.7808 82.0438
ARENITO 49.0 1260.348 2.4129 38.0011 65.3551 82.6645
ARENITO 49.0 1260.5004 2.4056 38.3839 65.3217 82.9817
ARENITO 49.0 1260.6528 2.3867 37.4612 64.8922 82.7789
ARENITO 49.0 1260.8052 2.3946 35.7755 64.3912 82.2957
ARENITO 49.0 1260.9576 2.3849 34.166 63.8896 81.9677
ARENITO 49.0 1261.11 2.3776 33.8017 63.5692 81.7227
ARENITO 49.0 1261.2624 2.3785 34.0402 63.3184 81.9391
ARENITO 49.0 1261.4148 2.3652 33.7945 63.0678 82.3667
ARENITO 49.0 1261.5672 2.3615 33.0153 63.0 82.3789
ARENITO 49.0 1261.7196 2.3627 32.3881 63.1835 82.3394
ARENITO 49.0 1261.872 2.3468 34.7318 63.25 82.1234
ARENITO 49.0 1262.0244 2.3587 35.1779 63.25 81.9015
ARENITO 49.0 1262.1768 2.385 34.8548 63.4355 81.8506
ARENITO 49.0 1262.3292 2.3883 34.8525 63.8719 81.7415
ARENITO 49.0 1262.4816 2.3952 34.7598 64.9337 81.3388
ARENITO 49.0 1262.634 2.4115 34.8903 65.9994 81.2151
ARENITO 49.0 1262.7864 2.4446 35.3979 66.8144 81.2519
ARENITO 49.0 1262.9388 2.4615 36.4516 67.5662 80.4152
FOLHELHO 57.0 1263.0912 2.4746 38.5609 68.1285 78.6227
FOLHELHO 57.0 1263.2436 2.5312 42.733 68.25 75.4231
FOLHELHO 57.0 1263.396 2.5549 48.7803 67.8688 72.7407
FOLHELHO 57.0 1263.5484 2.557 56.6813 67.9414 71.8349
FOLHELHO 57.0 1263.7008 2.5224 58.6308 68.576 72.1073
FOLHELHO 57.0 1263.8532 2.5097 61.0586 69.5212 73.5402
FOLHELHO 57.0 1264.0056 2.5051 62.1266 70.3302 75.671
FOLHELHO 57.0 1264.158 2.4854 61.3565 70.6939 76.1423
FOLHELHO 57.0 1264.3104 2.4707 59.7617 71.3341 76.3597
FOLHELHO 57.0 1264.4628 2.4719 59.0876 71.8906 76.8446
FOLHELHO 57.0 1264.6152 2.4636 58.7704 72.1961 77.154
FOLHELHO 57.0 1264.7676 2.472 59.1774 72.25 77.8604
FOLHELHO 57.0 1264.92 2.4584 61.315 72.25 78.3076
FOLHELHO 57.0 1265.0724 2.4089 63.1594 72.052 77.6831
FOLHELHO 57.0 1265.2248 2.3565 64.2764 71.8015 77.1506
FOLHELHO 57.0 1265.3772 2.283 64.4171 71.1519 77.8397
FOLHELHO 57.0 1265.5296 2.191 64.0423 70.6001 78.3114
FOLHELHO 57.0 1265.682 2.099 63.1711 70.0991 79.9083
FOLHELHO 57.0 1265.8344 1.9884 61.1679 69.3963 82.8441
FOLHELHO 57.0 1265.9868 1.9087 58.7932 68.6445 87.8439
FOLHELHO 57.0 1266.7488 2.1554 49.1203 68.6153 94.2782
FOLHELHO 57.0 1266.9012 2.2459 46.687 68.9559 87.0974
