Lito            Codigo        Depth(m)        GR            RHOB        DT            SP
arenito         49.0        3165.0432        44.0159        2.5690        62.0434        29.3501
arenito         49.0        3164.8908        44.3745        2.5288        62.5251        29.7020
arenito         49.0        3164.7384        44.1796        2.5213        63.0124        30.2031
arenito         49.0        3164.5860        43.6319        2.5483        63.1285        30.5000
arenito         49.0        3164.4336        42.5345        2.5596        63.0883        30.3971
arenito         49.0        3164.2812        41.1417        2.5616        62.8891        30.1466
arenito         49.0        3164.1288        39.0156        2.5518        62.4651        29.6884
arenito         49.0        3163.9764        36.4706        2.5522        62.0484        29.0405
arenito         49.0        3163.8240        33.2044        2.5569        61.7825        28.5387
arenito         49.0        3163.6716        30.3786        2.5642        61.5093        28.2500
arenito         49.0        3163.5192        29.4554        2.5617        61.4521        28.0367
arenito         49.0        3163.3668        28.9934        2.5505        61.5012        27.6424
arenito         49.0        3163.2144        28.8535        2.5354        61.6712        27.3919
arenito         49.0        3163.0620        28.7259        2.5307        62.0042        27.1415
arenito         49.0        3162.9096        28.2993        2.5290        61.8116        27.0000
arenito         49.0        3162.7572        26.7923        2.5303        61.3054        27.1103
arenito         49.0        3162.6048        24.6805        2.5457        60.6525        27.2500
arenito         49.0        3162.4524        22.8535        2.5764        59.9832        27.2500
arenito         49.0        3162.3000        21.5767        2.6069        59.5481        27.2500
arenito         49.0        3162.1476        20.9120        2.6267        59.6559        27.2500
arenito         49.0        3161.9952        21.0456        2.6142        60.2832        27.1368
arenito         49.0        3161.8428        21.4899        2.5973        61.0636        27.0000
arenito         49.0        3161.6904        21.8056        2.6041        61.4929        26.8854
arenito         49.0        3161.5380        22.6134        2.6039        61.1739        26.7500
arenito         49.0        3161.3856        23.6664        2.5836        60.6042        26.9820
arenito         49.0        3161.2332        24.5443        2.5591        60.1822        27.6007
arenito         49.0        3161.0808        25.0794        2.5561        60.1607        27.8826
arenito         49.0        3160.9284        25.4195        2.5507        60.5496        27.7500
arenito         49.0        3160.7760        25.7204        2.5418        60.8982        27.7500
arenito         49.0        3160.6236        25.5917        2.5623        61.0265        27.6307
arenito         49.0        3160.4712        25.5295        2.5627        61.0500        27.5000
arenito         49.0        3160.3188        26.5625        2.5373        61.4293        27.6207
arenito         49.0        3160.1664        27.9580        2.5271        61.9982        27.7500
arenito         49.0        3160.0140        29.5606        2.5255        62.6041        27.8716
arenito         49.0        3159.8616        31.8854        2.5285        63.3662        28.0000
arenito         49.0        3159.7092        35.3322        2.5300        63.7875        28.0000
arenito         49.0        3159.5568        39.7987        2.5300        63.8133        28.0000
arenito         49.0        3159.4044        42.1419        2.5310        63.7640        28.0000
arenito         49.0        3159.2520        44.8424        2.5475        63.8007        28.1877
arenito         49.0        3159.0996        45.9658        2.5505        63.7637        28.2500
arenito         49.0        3158.9472        44.5987        2.5445        63.4187        28.2500
arenito         49.0        3158.7948        40.6386        2.5476        62.9544        28.1228
arenito         49.0        3158.6424        36.2455        2.5535        62.3855        27.7438
arenito         49.0        3158.4900        32.4602        2.5479        61.7779        27.1142
arenito         49.0        3158.3376        29.5497        2.5507        61.4633        26.6209
arenito         49.0        3158.1852        27.6466        2.5596        61.1400        26.2400
arenito         49.0        3158.0328        26.8488        2.5610        60.6992        25.7391
arenito         49.0        3157.8804        28.0730        2.5547        60.5144        25.3690
arenito         49.0        3157.7280        32.3344        2.5469        60.8987        25.6456
arenito         49.0        3157.5756        37.9534        2.5424        61.4808        26.1323
arenito         49.0        3157.4232        41.3295        2.5464        62.1525        26.2500
arenito         49.0        3157.2708        41.4253        2.5525        62.6465        26.2500
arenito         49.0        3157.1184        38.9299        2.5487        62.2898        26.2500
arenito         49.0        3156.9660        35.0421        2.5385        61.5101        25.8446
arenito         49.0        3156.8136        31.5212        2.5254        60.6692        25.3644
arenito         49.0        3156.6612        28.5943        2.5135        59.6570        24.9769
arenito         49.0        3156.5088        26.0286        2.5112        59.1958        24.4760
arenito         49.0        3156.3564        24.1537        2.5163        59.3792        24.1125
arenito         49.0        3156.2040        23.0229        2.5223        59.6194        23.7231
arenito         49.0        3156.0516        22.3635        2.5294        60.0054        23.3611
arenito         49.0        3155.8992        22.6319        2.5308        60.1354        23.1106
arenito         49.0        3155.7468        25.1751        2.5492        60.1586        22.8597
arenito         49.0        3155.5944        29.3499        2.5650        60.3549        22.7500
arenito         49.0        3155.4420        33.6523        2.5610        60.6338        22.6083
arenito         49.0        3155.2896        35.8977        2.5506        61.4494        22.5000
arenito         49.0        3155.1372        35.7918        2.5370        62.9346        22.2138
arenito         49.0        3154.9848        35.0410        2.5316        63.9188        21.7129
arenito         49.0        3154.8324        34.7650        2.5320        63.5708        20.9237
arenito         49.0        3154.6800        34.5795        2.5419        62.1285        20.0650
arenito         49.0        3154.5276        33.8972        2.5718        60.1422        19.7500
arenito         49.0        3154.3752        33.5665        2.6126        58.3227        20.0426
arenito         49.0        3154.2228        34.0379        2.6382        57.3952        20.5437
arenito         49.0        3154.0704        34.4800        2.6310        57.3293        20.7500
arenito         49.0        3153.9180        33.9500        2.6125        57.4961        20.6018
arenito         49.0        3153.7656        32.1847        2.5983        57.8176        20.2025
arenito         49.0        3153.6132        29.3449        2.5822        58.2884        19.5510
arenito         49.0        3153.4608        26.6566        2.5744        59.1889        18.6497
arenito         49.0        3153.3084        25.3666        2.5644        59.8640        17.6474
arenito         49.0        3153.1560        25.3554        2.5483        60.0889        16.6439
arenito         49.0        3153.0036        25.5944        2.5304        60.2361        15.9451
arenito         49.0        3152.8512        25.2405        2.5242        60.6220        15.4443
arenito         49.0        3152.6988        24.7944        2.5514        60.9510        14.9432
arenito         49.0        3152.5464        24.8174        2.5871        60.9964        14.2870
